yLeafs,yLists,leafsInLists,mDepth,spUsed,assignm,funcCalls,Y
19,1,171,4,1,263836,404564,6510197
20,1,190,4,1,286096,438804,7926554
21,1,210,4,1,309469,474756,8350133
22,1,231,4,1,333955,512420,8272593
23,1,253,4,1,359554,551796,8917690
24,1,276,4,1,386266,592884,9666848
25,1,300,4,1,414091,635684,10095322
26,1,325,4,1,443029,680196,11629113
27,1,351,4,1,473080,726420,11865510
28,1,378,4,1,504244,774356,12724417
29,1,406,4,1,536521,824004,13435395
2,2,0,4,1,53479,80995,1484868
4,2,0,4,1,54592,82708,1514145
6,2,0,4,1,55705,84420,1547253
8,2,0,4,1,56818,86132,1663356
10,2,0,4,1,57931,87844,1621160
12,2,0,4,1,59044,89556,1606100
14,2,0,4,1,60157,91268,1665064
16,2,0,4,1,61270,92980,1649704
18,2,0,4,1,62383,94692,1790630
20,2,0,4,1,63496,96404,1739155
200,2,0,4,1,163666,250483,4419529
208,2,0,4,1,168118,257332,4516552
216,2,0,4,1,172570,264180,4645570
224,2,0,4,1,177022,271028,4726392
232,2,0,4,1,181474,277876,4736435
240,2,0,4,1,185926,284724,5091102
248,2,0,4,1,190378,291572,4618899
256,2,0,4,1,194830,298420,4824926
264,2,0,4,1,199282,305268,4721174
272,2,0,4,1,203734,312116,4883071
280,2,0,4,1,208186,318964,5057536
288,2,0,4,1,212638,325812,4978460
296,2,0,4,1,217090,332660,5302150
304,2,0,4,1,221542,339508,5200343
312,2,0,4,1,225994,346356,5484641
320,2,0,4,1,230446,353204,5379877
328,2,0,4,1,234898,360052,5698111
336,2,0,4,1,239350,366900,5706041
344,2,0,4,1,243802,373748,5855232
352,2,0,4,1,248254,380596,5986135
360,2,0,4,1,252706,387444,6120282
368,2,0,4,1,257158,394292,6136571
376,2,0,4,1,261610,401140,6380827
384,2,0,4,1,266062,407988,6232842
392,2,0,4,1,270514,414836,6484626
400,2,0,4,1,274966,421684,6571589
